-160931,-133688
-160931,266312
-160931,666312
-160931,1066312
-160931,1466312
-160931,1866312
-160931,2266312
-160931,2666312
-160931,3066312
-160931,3466312
239069,-133688
239069,266312
239069,666312
239069,1066312
239069,1466312
239069,1866312
239069,2266312
239069,2666312
239069,3066312
239069,3466312
639069,-133688
639069,266312
639069,666312
639069,1066312
639069,1466312
639069,1866312
639069,2266312
639069,2666312
639069,3066312
639069,3466312
1039069,-133688
1039069,266312
1039069,666312
1039069,1066312
1039069,1466312
1039069,1866312
1039069,2266312
1039069,2666312
1039069,3066312
1039069,3466312
1439069,-133688
1439069,266312
1439069,666312
1439069,1066312
1439069,1466312
1439069,1866312
1439069,2266312
1439069,2666312
1439069,3066312
1439069,3466312
1839069,-133688
1839069,266312
1839069,666312
1839069,1066312
1839069,1466312
1839069,1866312
1839069,2266312
1839069,2666312
1839069,3066312
1839069,3466312
2239069,-133688
2239069,266312
2239069,666312
2239069,1066312
2239069,1466312
2239069,1866312
2239069,2266312
2239069,2666312
2239069,3066312
2239069,3466312
2639069,-133688
2639069,266312
2639069,666312
2639069,1066312
2639069,1466312
2639069,1866312
2639069,2266312
2639069,2666312
2639069,3066312
2639069,3466312
3039069,-133688
3039069,266312
3039069,666312
3039069,1066312
3039069,1466312
3039069,1866312
3039069,2266312
3039069,2666312
3039069,3066312
3039069,3466312
3439069,-133688
3439069,266312
3439069,666312
3439069,1066312
3439069,1466312
3439069,1866312
3439069,2266312
3439069,2666312
3439069,3066312
3439069,3466312
-1997952,-1997255
-1997952,-1597255
-1997952,-1197255
-1997952,-797255
-1997952,-397255
-1997952,2745
-1977722,-1957721
-1977722,-1557721
-1977722,-1157721
-1977722,-757721
-1977722,-357721
-1977722,42279
-1977722,442279
-1977722,842279
-1977722,1242279
-1977722,1642279
-1577722,-1957721
-1577722,-1557721
-1577722,-1157721
-1577722,-757721
-1577722,-357721
-1577722,42279
-1577722,442279
-1577722,842279
-1577722,1242279
-1577722,1642279
-1177722,-1957721
-1177722,-1557721
-1177722,-1157721
-1177722,-757721
-1177722,-357721
-1177722,42279
-1177722,442279
-1177722,842279
-1177722,1242279
-1177722,1642279
-777722,-1957721
-777722,-1557721
-777722,-1157721
-777722,-757721
-777722,-357721
-777722,42279
-777722,442279
-777722,842279
-777722,1242279
-777722,1642279
-377722,-1957721
-377722,-1557721
-377722,-1157721
-377722,-757721
-377722,-357721
-377722,42279
-377722,442279
-377722,842279
-377722,1242279
-377722,1642279
22278,-1957721
22278,-1557721
22278,-1157721
22278,-757721
22278,-357721
22278,42279
22278,442279
22278,842279
22278,1242279
22278,1642279
422278,-1957721
422278,-1557721
422278,-1157721
422278,-757721
422278,-357721
422278,42279
422278,442279
422278,842279
422278,1242279
422278,1642279
822278,-1957721
822278,-1557721
822278,-1157721
822278,-757721
822278,-357721
822278,42279
822278,442279
822278,842279
822278,1242279
822278,1642279
1222278,-1957721
1222278,-1557721
1222278,-1157721
1222278,-757721
1222278,-357721
1222278,42279
1222278,442279
1222278,842279
1222278,1242279
1222278,1642279
1622278,-1957721
1622278,-1557721
1622278,-1157721
1622278,-757721
1622278,-357721
1622278,42279
1622278,442279
1622278,842279
1622278,1242279
1622278,1642279
-1989490,-1994454
-1989490,-1594454
-1989490,-1194454
-1989490,-794454
-1989490,-394454
-1989490,5546
-1989490,405546
-1989490,805546
-1989490,1205546
-1989490,1605546
-1589490,-1994454
-1589490,-1594454
-1589490,-1194454
-1589490,-794454
-1589490,-394454
-1589490,5546
-1589490,405546
-1589490,805546
-1589490,1205546
-1589490,1605546
-1189490,-1994454
-1189490,-1594454
-1189490,-1194454
-1189490,-794454
-1189490,-394454
-1189490,5546
-1189490,405546
-1189490,805546
-1189490,1205546
-1189490,1605546
-789490,-1994454
-789490,-1594454
-789490,-1194454
-789490,-794454
-789490,-394454
-789490,5546
-789490,405546
-789490,805546
-789490,1205546
-789490,1605546
-389490,-1994454
-389490,-1594454
-389490,-1194454
-389490,-794454
-389490,-394454
-389490,5546
-389490,405546
-389490,805546
-389490,1205546
-389490,1605546
10510,-1994454
10510,-1594454
10510,-1194454
10510,-794454
10510,-394454
10510,5546
10510,405546
10510,805546
10510,1205546
10510,1605546
410510,-1994454
410510,-1594454
410510,-1194454
410510,-794454
410510,-394454
410510,5546
410510,405546
410510,805546
410510,1205546
410510,1605546
810510,-1994454
810510,-1594454
810510,-1194454
810510,-794454
810510,-394454
810510,5546
810510,405546
810510,805546
810510,1205546
810510,1605546
1210510,-1994454
1210510,-1594454
1210510,-1194454
1210510,-794454
1210510,-394454
1210510,5546
1210510,405546
1210510,805546
1210510,1205546
1210510,1605546
1610510,-1994454
1610510,-1594454
1610510,-1194454
1610510,-794454
1610510,-394454
1610510,5546
1610510,405546
1610510,805546
1610510,1205546
1610510,1605546
-1995413,-1991394
-1995413,-1591394
-1995413,-1191394
-1995413,-791394
-1995413,-391394
-1995413,8606
-1995413,408606
-1995413,808606
-1995413,1208606
-1995413,1608606
-1595413,-1991394
-1595413,-1591394
-1595413,-1191394
-1595413,-791394
-1595413,-391394
-1595413,8606
-1595413,408606
-1595413,808606
-1595413,1208606
-1595413,1608606
-1195413,-1991394
-1195413,-1591394
-1195413,-1191394
-1195413,-791394
-1195413,-391394
-1195413,8606
-1195413,408606
-1195413,808606
-1195413,1208606
-1195413,1608606
-795413,-1991394
-795413,-1591394
-795413,-1191394
-795413,-791394
-795413,-391394
-795413,8606
-795413,408606
-795413,808606
-795413,1208606
-795413,1608606
-395413,-1991394
-395413,-1591394
-395413,-1191394
-395413,-791394
-395413,-391394
-395413,8606
-395413,408606
-395413,808606
-395413,1208606
-395413,1608606
4587,-1991394
4587,-1591394
4587,-1191394
4587,-791394
4587,-391394
4587,8606
4587,408606
4587,808606
4587,1208606
4587,1608606
404587,-1991394
404587,-1591394
404587,-1191394
404587,-791394
404587,-391394
404587,8606
404587,408606
404587,808606
404587,1208606
404587,1608606
804587,-1991394
804587,-1591394
804587,-1191394
804587,-791394
804587,-391394
804587,8606
804587,408606
804587,808606
804587,1208606
804587,1608606
1204587,-1991394
1204587,-1591394
1204587,-1191394
1204587,-791394
1204587,-391394
1204587,8606
1204587,408606
1204587,808606
1204587,1208606
1204587,1608606
1604587,-1991394
1604587,-1591394
1604587,-1191394
1604587,-791394
1604587,-391394
1604587,8606
1604587,408606
1604587,808606
1604587,1208606
1604587,1608606
